Current Exploration,Episode Length,TD Loss,frame_number,q_val action 0,q_val action 1,q_val action 2,q_val action 3,training_reward
0.0841828833503575,1198.53,0.019179828,9652754,2.7173362,2.7148395,2.7075858,2.716416,40.0
0.08401372012257405,1155.55,0.022251928,9744760,2.6754496,2.6717532,2.6685536,2.671137,36.69
0.08383115709908069,1237.53,0.02099892,9844054,2.6774771,2.6784234,2.66886,2.6655242,39.96
0.08364057405515832,1161.78,0.021632226,9947710,2.616654,2.6244395,2.6205695,2.6217852,37.1
0.08345555280898877,1255.69,0.022646837,10048341,2.6882331,2.693209,2.6857839,2.6895506,41.07
0.08325511297242083,1208.16,0.03687394,10157358,2.91395,2.919719,2.9063315,2.9045966,39.99
0.08307174463738509,1239.75,0.024502117,10257090,2.897964,2.891722,2.8837662,2.8781674,42.55
0.0828848406537283,1280.73,0.023724308,10358745,2.6641185,2.6654453,2.6581244,2.6551552,45.44
0.0827033624106231,1203.08,0.024895582,10457449,2.7721574,2.7674243,2.7561607,2.7621439,40.61
0.08251990214504597,1246.88,0.025332265,10557231,2.7343764,2.737867,2.7247834,2.731025,43.94
0.08234179039836567,1224.23,0.025627222,10654104,2.5748322,2.5754337,2.5707211,2.5714905,39.98
0.08216227211440245,1189.94,0.026541285,10751742,2.652113,2.6524403,2.6510968,2.6571038,39.31
0.08197442676200205,1271.81,0.024551952,10853909,2.796489,2.778204,2.7795727,2.776919,42.2
0.081790944433095,1271.01,0.02081521,10953703,2.6856236,2.693763,2.6739066,2.6681345,40.77
0.08158954116445352,1215.43,0.02257333,11063244,2.5338573,2.527053,2.5119736,2.5269246,38.83
0.0814125141981614,1203.2,0.023349972,11159527,2.5033226,2.4977682,2.4844458,2.4880896,38.8
0.08122020837589378,1286.38,0.024193043,11264120,2.5352461,2.5381138,2.5403132,2.5292072,42.96
0.08104081695607764,1224.34,0.02315282,11361689,2.455205,2.445786,2.441419,2.4437537,39.82
0.08085343677221654,1253.75,0.020189049,11463603,2.5142653,2.5035334,2.5090568,2.4871387,41.01
0.08067704228804903,1231.87,0.02092741,11559542,2.4472344,2.457401,2.4426296,2.4515681,41.73
0.08049934974463738,1191.26,0.03066464,11656187,2.4239416,2.431634,2.4114356,2.4263375,39.59
0.08031928723186926,1216.47,0.022153419,11754121,2.530584,2.5360174,2.5378428,2.534657,42.23
0.08013385229826353,1260.51,0.019473247,11854977,2.5169973,2.5229442,2.510214,2.5038643,44.91
0.0799313568947906,1224.98,0.020755276,11965112,2.492241,2.4914641,2.4885154,2.497755,42.44
0.07975895219611849,1187.94,0.0244726,12058881,2.4296975,2.42924,2.4171395,2.430796,36.83
0.0795745468845761,1234.98,0.020594126,12159177,2.4800153,2.490454,2.46697,2.4906,39.93
0.07938306659856997,1298.13,0.02130891,12263321,2.3083124,2.3077054,2.2821712,2.2954538,45.45
0.07919216731358529,1306.72,0.02533307,12367149,2.4061391,2.4031715,2.3736427,2.401936,48.25
