Current Exploration,Episode Length,frame_number,q_val action 0,q_val action 1,q_val action 2,q_val action 3,q_val action 4,q_val action 5,q_val action 6,q_val action 7,q_val action 8,td loss,training_reward
0.0919868431052094,450.36,5408267,64.63747,65.51963,63.66478,65.8966,65.86766,64.53903,69.1092,64.78281,65.59522,237.81894,895.0
0.09180150194075587,483.83,5509072,88.979126,89.20365,87.832954,90.15915,89.24186,87.86829,93.62958,88.93495,89.41694,856.4883,934.0
0.09161577650663943,445.87,5610086,93.90278,93.10522,91.19864,94.25615,94.40125,92.83866,99.4538,92.404785,93.284615,1128.167,846.5
0.09143318958120532,427.43,5709393,75.83617,74.765045,73.18504,76.19697,75.46021,74.45608,79.56992,73.80281,75.34235,499.1606,810.0
0.09124460143003064,464.91,5811964,84.31325,83.03545,81.672424,85.036476,83.6919,82.67001,88.41786,81.7322,83.56514,408.64243,883.5
0.09106413442288049,491.76,5910118,92.489075,91.487236,89.07321,93.092476,91.57844,91.06944,97.96886,88.88457,93.11032,1177.0903,792.5
0.09087685903983657,476.34,6011975,89.30979,89.91205,87.33771,89.45041,88.222305,87.85908,92.98345,87.87569,88.629135,473.37866,821.0
0.09069836118488253,423.02,6109058,138.58904,138.13147,134.90662,137.68942,138.41997,136.15907,143.80164,137.03342,136.1588,366.0725,722.5
0.09050924167517875,434.52,6211918,131.19612,131.54617,129.0156,130.27463,131.56598,130.38773,134.95447,130.74483,129.39824,159.74619,834.0
0.09032753544433095,452.43,6310746,100.07972,100.197876,98.06505,100.005264,99.27146,99.62815,104.57999,98.4154,99.827126,225.66234,911.5
0.09013956874361594,438.46,6412979,114.82459,114.512375,111.39751,112.6769,114.29935,112.680145,117.66023,112.88267,112.64811,2273.689,864.5
0.0899556175689479,456.56,6513028,86.19876,85.53274,82.84871,86.59756,85.074554,83.81996,89.46328,82.28352,84.889275,880.5661,852.5
0.08977062390194075,429.95,6613644,156.24152,154.97755,153.01328,155.27057,155.03159,153.54028,159.29736,157.45876,151.84787,359.13593,760.5
