Current Exploration,Episode Length,frame_number,q_val action 0,q_val action 1,q_val action 10,q_val action 11,q_val action 12,q_val action 13,q_val action 2,q_val action 3,q_val action 4,q_val action 5,q_val action 6,q_val action 7,q_val action 8,q_val action 9,td loss,training_reward
0.08992285352400409,700.43,6530848,5.081262,5.0697265,5.1172395,5.1335917,5.0676312,5.0784283,5.1317024,5.136816,5.07135,5.11059,5.1277637,5.0826325,5.1228557,5.104711,3.511705,483.1
0.08974386659856998,687.17,6628197,4.7218423,4.67732,4.7069325,4.6832047,4.7094803,4.766792,4.8033113,4.69369,4.5356903,4.710826,4.725688,4.710281,4.594326,4.662562,20.025953,468.7
0.08955708396322778,771.08,6729786,4.8286815,4.86708,4.8672915,4.800494,4.785014,4.838595,4.7992806,4.695417,4.7512283,4.920836,4.8153267,4.8109484,4.7162223,4.829295,15.909856,492.8
0.08937756567926455,710.84,6827424,6.0124674,5.881165,5.7783465,5.915999,5.81229,6.0480843,5.7206373,6.0992346,5.861347,5.6485796,5.8117905,5.7751646,5.7665358,5.7969995,3.501778,521.3
0.08918546394279878,730.38,6931906,6.5767226,6.5724964,6.550366,6.633338,6.4799814,6.5348015,6.5315084,6.562254,6.5105853,6.5039887,6.5439982,6.592445,6.486713,6.5214906,3.5852332,455.1
0.08900948498467824,730.05,7027619,6.153726,6.16385,6.2215877,6.1803355,6.209458,6.240872,6.309845,6.174782,6.2821445,6.251713,6.211142,6.265178,6.213925,6.1710706,6.9384327,504.3
0.08881839632277835,679.17,7131550,6.1239986,5.9225893,6.0748453,5.981818,5.872092,5.8802247,6.027157,5.848528,6.053086,5.925885,6.0582085,6.084351,5.8822293,6.0183644,4.6400743,442.3
0.08863115035750765,658.64,7233391,5.469823,5.6002183,5.5610633,5.589177,5.561996,5.581457,5.535237,5.5708413,5.6025825,5.5630784,5.545106,5.536762,5.5952077,5.5461984,6.836295,493.5
0.08845658529111339,704.08,7328335,5.62013,5.680734,5.719996,5.6968966,5.593964,5.749002,5.6874866,5.7047367,5.6540017,5.7293777,5.769237,5.7122936,5.8614373,5.6789374,23.152582,474.3
0.08827024024514811,746.27,7429686,5.386496,5.338521,5.477718,5.353567,5.4378705,5.5037684,5.55283,5.428375,5.514832,5.5957427,5.467414,5.5356054,5.439714,5.4744053,3.3515432,464.4
0.0880846453524004,620.69,7530629,5.2970805,5.3662996,5.149777,5.2386,5.1930637,5.2737722,5.391404,5.363812,5.2896676,5.4339104,5.279714,5.2582693,5.1989856,5.299076,5.79463,457.0
0.0879006077630235,682.74,7630725,4.6780357,4.7822485,4.819847,4.8086853,4.706792,4.694528,4.6827645,4.7833576,4.899726,4.7994184,4.884576,4.813388,4.7286367,4.6751003,45.37934,500.7
0.0877137846782431,741.48,7732336,4.3714657,4.3788877,4.344883,4.2605233,4.3237534,4.2804003,4.3601546,4.322785,4.3035197,4.364645,4.3297963,4.3117523,4.3285694,4.408843,4.5605273,426.3
0.08752494096016343,717.21,7835046,3.5359669,3.6820428,3.560776,3.4649389,3.4794545,3.6232007,3.613768,3.510947,3.5746274,3.5483484,3.590169,3.6082065,3.487712,3.779511,9.983475,492.7
0.0873478404494382,590.27,7931369,4.0570993,4.0806737,4.0852475,4.0976334,4.218535,4.416239,4.0918503,4.064541,4.1585402,4.024472,3.9892259,4.114989,4.090064,4.170029,4.2527647,391.5
0.08715862349336057,633.11,8034282,3.4743323,3.4448762,3.4686208,3.382555,3.44309,3.4837973,3.4236066,3.3949351,3.3811684,3.480062,3.5371003,3.4284325,3.4324837,3.4670916,8.209338,417.1
0.086976637793667,649.65,8133262,3.7073455,3.7928915,3.819679,3.875403,3.8152254,3.7833786,3.841136,3.8933344,3.8472424,3.8156204,3.77473,3.824352,3.8263829,3.784497,4.2922263,486.0
0.08678895240040858,665.36,8235342,4.2295985,4.2484875,4.271173,4.298648,4.237474,4.2733994,4.2569823,4.2447486,4.226869,4.2705007,4.2174015,4.227653,4.1815567,4.1848884,2.5417526,456.7
0.08660312216547497,733.88,8336413,4.4235287,4.473026,4.4111285,4.4266667,4.3926907,4.440294,4.4068074,4.4927077,4.46892,4.3782763,4.4269648,4.469731,4.427546,4.400734,3.668916,531.7
0.08641863411644535,656.02,8436754,4.5272875,4.4719663,4.582109,4.5445905,4.5356913,4.6351695,4.528475,4.5199246,4.4689384,4.4505982,4.479137,4.4271264,4.471038,4.4703016,1.7220494,419.1
