Current Exploration,Episode Length,TD Loss,frame_number,q_val action 0,q_val action 1,q_val action 10,q_val action 11,q_val action 12,q_val action 13,q_val action 2,q_val action 3,q_val action 4,q_val action 5,q_val action 6,q_val action 7,q_val action 8,q_val action 9,training_reward
0.09214573769152196,702.89,0.59415233,5321846,1.6515331,1.6548448,1.6572798,1.6479657,1.6504358,1.6528021,1.6554459,1.6509032,1.6551094,1.6468623,1.6516377,1.6584105,1.6575418,1.6509793,463.2
0.0919671570990807,710.04,0.6193318,5418974,1.6563538,1.6555555,1.6638314,1.6534435,1.6622388,1.6704547,1.6614304,1.664918,1.6652613,1.6538451,1.6708255,1.662867,1.6648946,1.6656144,437.8
0.09177191869254342,729.05,0.8790274,5525162,1.529627,1.5311531,1.528902,1.5305471,1.528135,1.5281554,1.526079,1.5263469,1.5239263,1.5279303,1.5220652,1.5335013,1.5266534,1.5293785,425.3
0.09158622083758938,788.12,0.48847213,5626161,1.4037917,1.4097716,1.4070175,1.3974046,1.4025042,1.4115434,1.4102885,1.4092116,1.4024448,1.401871,1.4052403,1.4086453,1.4038141,1.4016231,469.3
0.09140301062308478,727.86,0.4202836,5725807,1.3620609,1.358792,1.3624276,1.3443743,1.3665886,1.3627489,1.3573176,1.365199,1.3607281,1.3580972,1.3631675,1.3651181,1.36318,1.3608834,457.0
0.09122158569969356,753.05,0.7894737,5824482,1.3874586,1.3806568,1.3832065,1.3755839,1.38462,1.3830563,1.3882458,1.3805294,1.3862087,1.3843895,1.3870322,1.3839049,1.3853484,1.3805212,488.2
0.09104015526046987,734.4,0.88200533,5923160,1.3608677,1.3601078,1.3562118,1.3370464,1.3505778,1.3568292,1.3483546,1.3509997,1.354858,1.3555887,1.3538266,1.3589228,1.356252,1.3541511,444.3
0.09085126006128703,699.34,0.6393007,6025898,1.2871108,1.2867196,1.2882239,1.2848864,1.2912525,1.2849861,1.2867892,1.2898142,1.2931757,1.2866666,1.2898095,1.2865463,1.2892406,1.2902915,442.0
0.09067292216547497,813.15,0.5857386,6122894,1.3361491,1.3301353,1.3330913,1.3170455,1.3348138,1.3389485,1.3347727,1.3299475,1.3319314,1.3297552,1.3261077,1.3328426,1.3385743,1.3360851,500.5
0.0904768379979571,784.06,0.7398303,6229542,1.2298694,1.2323056,1.2321945,1.226934,1.2328336,1.2350259,1.2316445,1.2324301,1.2311909,1.2302601,1.2268822,1.2324321,1.2327372,1.2370273,455.4
0.09030114034729315,743.34,0.6036487,6325102,1.1827857,1.1867673,1.1851474,1.1831298,1.186143,1.1847728,1.1837667,1.1862667,1.1863033,1.184278,1.1833425,1.1845773,1.1892358,1.187283,456.0
0.0901096453524004,749.74,0.6571778,6429254,1.1925722,1.1995461,1.1973791,1.192155,1.2045914,1.2033778,1.2032572,1.199211,1.204511,1.1902577,1.1984591,1.193948,1.1971667,1.1995839,447.7
0.08992630827374873,790.72,0.4379138,6528969,1.228887,1.2370405,1.2401239,1.236429,1.2375369,1.238183,1.2423797,1.2458775,1.2370007,1.2427471,1.2413414,1.2430421,1.2409774,1.2419485,451.9
0.08974382431052094,659.74,0.6807487,6628220,1.2398881,1.2338443,1.2372622,1.2312303,1.2392849,1.2420717,1.2298275,1.2299352,1.2355443,1.2267848,1.2336074,1.2333605,1.2339929,1.2338681,408.4
0.0895548684371808,667.42,0.69474626,6730991,1.2192961,1.2216402,1.2208925,1.223995,1.2246934,1.2208359,1.2166195,1.2151835,1.2221265,1.2144836,1.2204454,1.218306,1.2253087,1.2201427,420.6
